municipality,iata_code,,name,iso_region
Stapari,UZC,,Ponikve Airport,RS-16
Belgrade,BEG,,Belgrade Nikola Tesla Airport,RS-00
Berane,IVG,,Berane Airport,ME-03
Zemun,BJY,,Batajnica Air Base,RS-00
Kraljevo,KVO,,Morava Airport,RS-18
Niš,INI,,Niš Constantine the Great Airport,RS-20
Podgorica,TGD,,Podgorica Airport / Podgorica Golubovci Airbase,ME-16
Tivat,TIV,,Tivat Airport,ME-19
Nanchong (Langzhong),LZG,,Langzhong Gucheng Airport,CN-51
Bratislava,BTS,,M. R. Štefánik Airport,SK-BL
Košice,KSC,,Košice International Airport,SK-KI
Lučenec,LUE,,Lučenec Airfield,SK-BC
Piešťany,PZY,,Piešťany Airport,SK-TA
Prešov,POV,,Prešov Air Base,SK-PV
Sliač,SLD,,Sliač Airport,SK-BC
Poprad,TAT,,Poprad-Tatry Airport,SK-PV
Dolný Hričov,ILZ,,Žilina-Dolný Hričov Airport,SK-ZI
Drummond,DRU,,Drummond Airport,US-MT
Guelmim,GLN,,Guelmim Airport,MA-TIZ
Ware,UWA,,Ware Airport,US-MA
Mamai,MAP,,Mamai Airport,PG-CPM
Cockburn Town,GDT,,JAGS McCartney International Airport,TC-GT
Middle Caicos,MDS,,Middle Caicos Airport,TC-MC
North Caicos,NCA,,North Caicos Airport,TC-NC
Pine Cay,PIC,,Pine Cay Airport,TC-PN
Providenciales,PLS,,Providenciales International Airport,TC-PR
South Caicos,XSC,,South Caicos Airport,TC-SC
Salt Cay,SLX,,Salt Cay Airport,TC-SL
Barahona,BRX,,Maria Montez International Airport,DO-04
Cabo Rojo,CBJ,,Cabo Rojo Airport,DO-16
Samana,AZS,,Samaná El Catey International Airport,DO-20
Costanza,COZ,,Constanza - Expedición 14 de Junio National Airport,DO-13
La Isabela,JBQ,,La Isabela International Airport,DO-01
La Romana,LRM,,Casa De Campo International Airport,DO-12
Punta Cana,PUJ,,Punta Cana International Airport,DO-11
Puerto Plata,POP,,Gregorio Luperon International Airport,DO-18
Santo Domingo,SDQ,,Las Américas International Airport,DO-01
Santiago,STI,,Cibao International Airport,DO-25
"Médouneu, Gabon",MDV,,Médouneu Airport,GQ-CS
Limestone,LIZ,,Loring International Airport,US-ME
Melfi,MEF,,Melfi Airport,TD-GR
Moramanga,OHB,,Ambohibary Airport,MG-A
Ankokoambo,NKO,,Ankokoambo Airport,MG-M
